event_id,threat_type,severity,risk_score,current_status,predicted_next_status
1,Open Redirect,High,60,Fixed,Fixed
2,XSS,High,97,Fixed,Fixed
3,XSS,High,100,Verified,Exploitable
4,IDOR,High,67,Discovered,Verified
5,RCE,Low,74,Exploitable,Exploitable
6,XSS,Low,91,Verified,Exploitable
7,IDOR,Low,2,Discovered,Verified
8,RCE,Critical,66,Verified,Exploitable
9,XSS,High,15,Verified,Verified
10,RCE,High,77,Exploitable,Fixed
11,SQL Injection,High,60,Exploitable,Verified
12,RCE,Low,51,Fixed,Fixed
13,RCE,Critical,69,Verified,Verified
14,IDOR,High,42,Verified,Exploitable
15,SQL Injection,Critical,93,Discovered,Verified
16,Open Redirect,Medium,5,Exploitable,Exploitable
17,SQL Injection,Critical,7,Verified,Exploitable
18,Path Traversal,Low,78,Verified,Exploitable
19,XSS,Low,75,Fixed,Fixed
20,Misconfiguration,Medium,67,Discovered,Verified
21,SQL Injection,Medium,14,Exploitable,Exploitable
22,Misconfiguration,Critical,45,Discovered,Verified
23,Open Redirect,Critical,97,Exploitable,Fixed
24,CSRF,Low,65,Discovered,Verified
25,XSS,Critical,3,Verified,Exploitable
26,CSRF,Medium,35,Exploitable,Exploitable
27,RCE,High,87,Fixed,Fixed
28,IDOR,Low,46,Verified,Exploitable
29,SQL Injection,High,55,Exploitable,Fixed
30,XSS,High,76,Verified,Fixed
31,Open Redirect,Medium,86,Verified,Fixed
32,Path Traversal,Low,44,Verified,Exploitable
33,CSRF,High,50,Exploitable,Verified
34,Path Traversal,Medium,0,Discovered,Verified
35,Misconfiguration,Critical,14,Discovered,Verified
36,SQL Injection,Low,52,Fixed,Fixed
37,XSS,Low,18,Verified,Exploitable
38,RCE,High,12,Verified,Exploitable
39,IDOR,High,99,Exploitable,Exploitable
40,RCE,Critical,72,Discovered,Verified
41,RCE,Low,23,Fixed,Fixed
42,IDOR,Low,1,Discovered,Verified
43,Misconfiguration,Low,60,Exploitable,Exploitable
44,Misconfiguration,Medium,87,Verified,Exploitable
45,IDOR,High,94,Discovered,Verified
46,SQL Injection,Medium,31,Discovered,Verified
47,RCE,Critical,81,Fixed,Fixed
48,XSS,Low,25,Fixed,Fixed
49,Open Redirect,Critical,19,Fixed,Fixed
50,Path Traversal,High,35,Discovered,Discovered
51,IDOR,High,16,Exploitable,Exploitable
52,SQL Injection,High,18,Discovered,Verified
53,Path Traversal,Low,45,Discovered,Discovered
54,XSS,High,46,Fixed,Fixed
55,Open Redirect,High,37,Discovered,Verified
56,Open Redirect,Low,77,Verified,Exploitable
57,Path Traversal,High,76,Verified,Verified
58,IDOR,Critical,17,Verified,Fixed
59,Open Redirect,Medium,79,Exploitable,Fixed
60,IDOR,Medium,57,Fixed,Fixed
61,RCE,High,87,Verified,Exploitable
62,IDOR,Medium,62,Exploitable,Fixed
63,Path Traversal,Medium,47,Fixed,Fixed
64,XSS,Critical,46,Discovered,Verified
65,Misconfiguration,Medium,86,Verified,Exploitable
66,XSS,Low,86,Verified,Exploitable
67,Misconfiguration,High,5,Discovered,Verified
68,CSRF,High,56,Discovered,Exploitable
69,Misconfiguration,High,21,Discovered,Verified
70,SQL Injection,Critical,76,Discovered,Verified
71,Open Redirect,Medium,58,Verified,Verified
72,CSRF,Medium,77,Verified,Exploitable
73,IDOR,Critical,49,Verified,Exploitable
74,SQL Injection,Low,51,Discovered,Verified
75,IDOR,Medium,93,Verified,Exploitable
76,SQL Injection,Critical,23,Exploitable,Exploitable
77,Misconfiguration,Low,90,Exploitable,Exploitable
78,Misconfiguration,Critical,3,Discovered,Verified
79,RCE,Critical,8,Fixed,Fixed
80,RCE,Critical,43,Fixed,Fixed
81,Misconfiguration,High,75,Verified,Verified
82,Misconfiguration,Critical,46,Discovered,Verified
83,SQL Injection,High,21,Fixed,Fixed
84,Open Redirect,High,99,Discovered,Exploitable
85,IDOR,Critical,70,Verified,Verified
86,RCE,High,69,Fixed,Fixed
87,Misconfiguration,High,61,Exploitable,Verified
88,Open Redirect,Low,50,Exploitable,Fixed
89,Open Redirect,Medium,13,Exploitable,Exploitable
90,IDOR,Low,43,Fixed,Fixed
91,Misconfiguration,Medium,55,Fixed,Fixed
92,XSS,Medium,25,Fixed,Fixed
93,CSRF,Medium,50,Exploitable,Fixed
94,RCE,Low,78,Discovered,Exploitable
95,IDOR,Medium,88,Fixed,Fixed
96,Misconfiguration,Critical,70,Verified,Exploitable
97,XSS,High,14,Exploitable,Fixed
98,RCE,Critical,4,Verified,Verified
99,CSRF,High,43,Verified,Exploitable
100,SQL Injection,Medium,86,Fixed,Fixed
101,XSS,High,18,Fixed,Fixed
102,Path Traversal,High,23,Verified,Fixed
103,Path Traversal,High,59,Fixed,Fixed
104,SQL Injection,Medium,62,Fixed,Fixed
105,Open Redirect,Critical,56,Exploitable,Verified
106,XSS,Critical,44,Discovered,Verified
107,RCE,Critical,35,Discovered,Verified
108,SQL Injection,Low,2,Verified,Exploitable
109,RCE,Medium,4,Fixed,Fixed
110,XSS,Low,45,Verified,Exploitable
111,IDOR,Low,77,Discovered,Exploitable
112,IDOR,Medium,87,Verified,Exploitable
113,IDOR,Medium,98,Exploitable,Exploitable
114,RCE,High,18,Verified,Verified
115,Path Traversal,High,87,Fixed,Fixed
116,XSS,Low,9,Exploitable,Verified
117,RCE,High,64,Fixed,Verified
118,Open Redirect,Medium,50,Discovered,Exploitable
119,SQL Injection,High,85,Discovered,Discovered
120,SQL Injection,Critical,6,Verified,Fixed
121,SQL Injection,Low,55,Discovered,Verified
122,RCE,Low,72,Verified,Verified
123,Open Redirect,Low,1,Discovered,Verified
124,Open Redirect,Low,1,Verified,Discovered
125,CSRF,Low,99,Discovered,Discovered
126,Path Traversal,Critical,57,Verified,Discovered
127,RCE,Critical,86,Verified,Exploitable
128,IDOR,Medium,35,Exploitable,Exploitable
129,XSS,Critical,41,Exploitable,Exploitable
130,Open Redirect,Critical,14,Discovered,Verified
131,RCE,Critical,21,Exploitable,Exploitable
132,Open Redirect,Medium,12,Verified,Verified
133,Path Traversal,High,42,Exploitable,Verified
134,SQL Injection,Medium,35,Verified,Verified
135,Path Traversal,Critical,80,Discovered,Verified
136,IDOR,Medium,80,Discovered,Exploitable
137,SQL Injection,High,37,Exploitable,Exploitable
138,SQL Injection,Critical,24,Verified,Verified
139,IDOR,High,80,Discovered,Verified
140,IDOR,Medium,29,Fixed,Fixed
141,RCE,Critical,85,Fixed,Fixed
142,XSS,Medium,26,Verified,Verified
143,Path Traversal,High,12,Fixed,Fixed
144,Open Redirect,Low,40,Discovered,Verified
145,RCE,High,31,Exploitable,Exploitable
146,IDOR,Low,93,Fixed,Fixed
147,CSRF,Critical,60,Exploitable,Exploitable
148,IDOR,Medium,68,Verified,Exploitable
149,IDOR,High,96,Exploitable,Exploitable
150,XSS,Medium,0,Fixed,Fixed
151,XSS,Critical,55,Exploitable,Discovered
152,SQL Injection,High,89,Discovered,Verified
153,Open Redirect,Critical,81,Verified,Exploitable
154,XSS,Critical,89,Discovered,Discovered
155,IDOR,High,36,Fixed,Fixed
156,XSS,Low,96,Fixed,Verified
157,RCE,Low,30,Discovered,Verified
158,IDOR,Low,49,Verified,Exploitable
159,SQL Injection,High,74,Discovered,Exploitable
160,SQL Injection,Low,70,Verified,Verified
161,Path Traversal,High,23,Verified,Exploitable
162,RCE,Low,28,Fixed,Fixed
163,IDOR,Medium,73,Exploitable,Fixed
164,RCE,Critical,36,Verified,Verified
165,Path Traversal,Medium,6,Discovered,Discovered
166,Misconfiguration,Medium,4,Verified,Exploitable
167,Open Redirect,Critical,10,Exploitable,Exploitable
168,SQL Injection,Low,9,Discovered,Verified
169,Misconfiguration,Critical,86,Fixed,Fixed
170,SQL Injection,Low,78,Exploitable,Exploitable
171,Path Traversal,Low,13,Exploitable,Exploitable
172,IDOR,Medium,67,Exploitable,Fixed
173,XSS,Critical,9,Discovered,Discovered
174,XSS,Low,100,Discovered,Exploitable
175,RCE,Low,2,Exploitable,Verified
176,RCE,Medium,6,Discovered,Verified
177,Misconfiguration,High,26,Discovered,Verified
178,Open Redirect,Low,11,Exploitable,Fixed
179,RCE,Low,17,Verified,Exploitable
180,Open Redirect,Medium,35,Fixed,Fixed
181,Misconfiguration,Low,71,Fixed,Fixed
182,IDOR,High,58,Discovered,Verified
183,XSS,High,90,Discovered,Exploitable
184,Open Redirect,High,78,Exploitable,Exploitable
185,RCE,Medium,61,Exploitable,Fixed
186,RCE,Critical,64,Exploitable,Exploitable
187,RCE,High,34,Fixed,Fixed
